
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.09150,NAN,NAN,12.60000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.06740,NAN,NAN,12.70000
10,0x000E,1,FALSE,0.49389,0.00201,0.18930,4.06350,NAN,NAN,12.70000
20,0x000E,1,FALSE,0.99333,0.00404,0.18930,4.06150,NAN,NAN,12.70000
30,0x000E,1,FALSE,1.44286,0.00586,0.18930,4.05990,NAN,NAN,12.70000
40,0x000E,1,FALSE,1.94244,0.00789,0.18930,4.05850,NAN,NAN,12.60000
50,0x000E,1,FALSE,2.44200,0.00992,0.18930,4.05730,NAN,NAN,12.50000
60,0x000E,1,FALSE,2.94150,0.01194,0.18930,4.05620,NAN,NAN,12.40000
70,0x000E,1,FALSE,3.44086,0.01397,0.18930,4.05530,NAN,NAN,12.30000
80,0x000E,1,FALSE,3.99025,0.01619,0.18930,4.05440,NAN,NAN,12.20000
90,0x000E,1,FALSE,4.48972,0.01822,0.18930,4.05360,NAN,NAN,12.10000
100,0x000E,1,FALSE,4.98931,0.02024,0.18930,4.05280,NAN,NAN,12.00000
110,0x000E,1,FALSE,5.48883,0.02227,0.18930,4.05220,NAN,NAN,11.90000
120,0x000E,1,FALSE,5.93828,0.02409,0.18930,4.05160,NAN,NAN,11.80000
130,0x000E,1,FALSE,6.43772,0.02611,0.18930,4.05100,NAN,NAN,11.90000
140,0x000E,1,FALSE,6.93725,0.02814,0.18930,4.05050,NAN,NAN,11.90000
150,0x000E,1,FALSE,7.43697,0.03016,0.18930,4.04990,NAN,NAN,11.90000
160,0x000E,1,FALSE,7.93650,0.03218,0.18930,4.04940,NAN,NAN,12.00000
170,0x000E,1,FALSE,8.48603,0.03441,0.18930,4.04890,NAN,NAN,12.00000
