
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.09960,NAN,NAN,30.20000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.09400,NAN,NAN,30.20000
10,0x000E,1,FALSE,0.49333,0.00201,0.18930,4.08080,NAN,NAN,30.20000
20,0x000E,1,FALSE,0.99197,0.00405,0.18930,4.07930,NAN,NAN,30.20000
30,0x000E,1,FALSE,1.44094,0.00588,0.18930,4.07820,NAN,NAN,30.20000
40,0x000E,1,FALSE,1.93978,0.00791,0.18930,4.07720,NAN,NAN,30.20000
50,0x000E,1,FALSE,2.43856,0.00995,0.18930,4.07640,NAN,NAN,30.20000
60,0x000E,1,FALSE,2.93733,0.01198,0.18930,4.07570,NAN,NAN,30.20000
70,0x000E,1,FALSE,3.43603,0.01401,0.18930,4.07510,NAN,NAN,30.20000
80,0x000E,1,FALSE,3.98469,0.01625,0.18930,4.07450,NAN,NAN,30.20000
90,0x000E,1,FALSE,4.48336,0.01828,0.18930,4.07400,NAN,NAN,30.20000
100,0x000E,1,FALSE,4.98208,0.02031,0.18930,4.07360,NAN,NAN,30.20000
110,0x000E,1,FALSE,5.48092,0.02234,0.18930,4.07320,NAN,NAN,30.20000
120,0x000E,1,FALSE,5.92983,0.02417,0.18930,4.07270,NAN,NAN,30.20000
130,0x000E,1,FALSE,6.42872,0.02620,0.18930,4.07240,NAN,NAN,30.20000
140,0x000E,1,FALSE,6.92747,0.02823,0.18930,4.07200,NAN,NAN,30.20000
150,0x000E,1,FALSE,7.42625,0.03026,0.18930,4.07160,NAN,NAN,30.20000
160,0x000E,1,FALSE,7.92494,0.03229,0.18930,4.07130,NAN,NAN,30.20000
