
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.09850,NAN,NAN,25.20000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.09200,NAN,NAN,25.20000
10,0x000E,1,FALSE,0.51925,0.00212,0.18930,4.07790,NAN,NAN,25.20000
20,0x000E,1,FALSE,1.03878,0.00424,0.18930,4.07620,NAN,NAN,25.20000
30,0x000E,1,FALSE,1.50631,0.00614,0.18930,4.07500,NAN,NAN,25.20000
40,0x000E,1,FALSE,2.02581,0.00826,0.18930,4.07390,NAN,NAN,25.20000
50,0x000E,1,FALSE,2.54542,0.01037,0.18930,4.07290,NAN,NAN,25.20000
60,0x000E,1,FALSE,3.06514,0.01249,0.18930,4.07220,NAN,NAN,25.20000
70,0x000E,1,FALSE,3.58481,0.01461,0.18930,4.07150,NAN,NAN,25.20000
80,0x000E,1,FALSE,4.15650,0.01693,0.18930,4.07080,NAN,NAN,25.20000
90,0x000E,1,FALSE,4.67606,0.01905,0.18930,4.07030,NAN,NAN,25.20000
100,0x000E,1,FALSE,5.19583,0.02116,0.18930,4.06970,NAN,NAN,25.20000
110,0x000E,1,FALSE,5.71561,0.02328,0.18930,4.06930,NAN,NAN,25.20000
120,0x000E,1,FALSE,6.18344,0.02518,0.18930,4.06880,NAN,NAN,25.20000
130,0x000E,1,FALSE,6.70308,0.02730,0.18930,4.06840,NAN,NAN,25.20000
140,0x000E,1,FALSE,7.22272,0.02941,0.18930,4.06800,NAN,NAN,25.20000
150,0x000E,1,FALSE,7.74239,0.03152,0.18930,4.06760,NAN,NAN,25.20000
160,0x000E,1,FALSE,8.26206,0.03364,0.18930,4.06720,NAN,NAN,25.20000
170,0x000E,1,FALSE,8.83353,0.03596,0.18930,4.06680,NAN,NAN,25.20000
180,0x000E,1,FALSE,9.35297,0.03807,0.18930,4.06650,NAN,NAN,25.20000
190,0x000E,1,FALSE,9.87261,0.04019,0.18930,4.06610,NAN,NAN,25.20000
200,0x000E,1,FALSE,10.39219,0.04230,0.18930,4.06580,NAN,NAN,25.20000
210,0x000E,1,FALSE,10.85997,0.04420,0.18930,4.06550,NAN,NAN,25.20000
220,0x000E,1,FALSE,11.37981,0.04631,0.18930,4.06510,NAN,NAN,25.20000
230,0x000E,1,FALSE,11.89956,0.04843,0.18930,4.06480,NAN,NAN,25.20000
240,0x000E,1,FALSE,12.41914,0.05054,0.18930,4.06450,NAN,NAN,25.30000
250,0x000E,1,FALSE,12.93886,0.05265,0.18930,4.06410,NAN,NAN,25.30000
260,0x000E,1,FALSE,13.51053,0.05497,0.18930,4.06380,NAN,NAN,25.30000
270,0x000E,1,FALSE,14.03017,0.05709,0.18930,4.06350,NAN,NAN,25.30000
280,0x000E,1,FALSE,14.55000,0.05920,0.18930,4.06320,NAN,NAN,25.30000
290,0x000E,1,FALSE,15.06983,0.06131,0.18930,4.06290,NAN,NAN,25.20000
300,0x000E,1,FALSE,15.53781,0.06321,0.18930,4.06260,NAN,NAN,25.30000
310,0x000E,1,FALSE,16.05758,0.06532,0.18930,4.06230,NAN,NAN,25.20000
320,0x000E,1,FALSE,16.57711,0.06743,0.18930,4.06200,NAN,NAN,25.20000
330,0x000E,1,FALSE,17.09658,0.06954,0.18930,4.06170,NAN,NAN,25.20000
340,0x000E,1,FALSE,17.61611,0.07165,0.18930,4.06140,NAN,NAN,25.20000
350,0x000E,1,FALSE,18.18758,0.07397,0.18930,4.06110,NAN,NAN,25.20000
360,0x000E,1,FALSE,18.70706,0.07608,0.18930,4.06080,NAN,NAN,25.20000
370,0x000E,1,FALSE,19.22650,0.07819,0.18930,4.06050,NAN,NAN,25.20000
380,0x000E,1,FALSE,19.74594,0.08030,0.18930,4.06020,NAN,NAN,25.20000
390,0x000E,1,FALSE,20.21347,0.08220,0.18930,4.05990,NAN,NAN,25.20000
400,0x000E,1,FALSE,20.73297,0.08431,0.18930,4.05970,NAN,NAN,25.20000
410,0x000E,1,FALSE,21.25253,0.08642,0.18930,4.05940,NAN,NAN,25.20000
420,0x000E,1,FALSE,21.77208,0.08853,0.18930,4.05910,NAN,NAN,25.20000
430,0x000E,1,FALSE,22.29153,0.09063,0.18930,4.05880,NAN,NAN,25.30000
440,0x000E,1,FALSE,22.86289,0.09295,0.18930,4.05850,NAN,NAN,25.30000
450,0x000E,1,FALSE,23.38233,0.09506,0.18930,4.05820,NAN,NAN,25.30000
460,0x000E,1,FALSE,23.90178,0.09717,0.18930,4.05800,NAN,NAN,25.30000
470,0x000E,1,FALSE,24.42125,0.09928,0.18930,4.05770,NAN,NAN,25.30000
480,0x000E,1,FALSE,24.88878,0.10117,0.18930,4.05740,NAN,NAN,25.30000
490,0x000E,1,FALSE,25.40820,0.10328,0.18930,4.05720,NAN,NAN,25.30000
500,0x000E,1,FALSE,25.92761,0.10539,0.18930,4.05690,NAN,NAN,25.30000
510,0x000E,1,FALSE,26.44703,0.10749,0.18930,4.05660,NAN,NAN,25.30000
520,0x000E,1,FALSE,26.96645,0.10960,0.18930,4.05630,NAN,NAN,25.30000
530,0x000E,1,FALSE,27.53783,0.11192,0.18930,4.05610,NAN,NAN,25.30000
540,0x000E,1,FALSE,28.05728,0.11403,0.18930,4.05580,NAN,NAN,25.30000
550,0x000E,1,FALSE,28.57675,0.11613,0.18930,4.05550,NAN,NAN,25.30000
560,0x000E,1,FALSE,29.09614,0.11824,0.18930,4.05520,NAN,NAN,25.30000
570,0x000E,1,FALSE,29.56347,0.12013,0.18930,4.05500,NAN,NAN,25.30000
580,0x000E,1,FALSE,30.08286,0.12224,0.18930,4.05470,NAN,NAN,25.30000
590,0x000E,1,FALSE,30.60217,0.12434,0.18930,4.05450,NAN,NAN,25.30000
600,0x000E,1,FALSE,31.12153,0.12645,0.18930,4.05420,NAN,NAN,25.30000
610,0x000E,1,FALSE,31.64114,0.12856,0.18930,4.05390,NAN,NAN,25.30000
620,0x000E,1,FALSE,32.21281,0.13087,0.18930,4.05370,NAN,NAN,25.30000
630,0x000E,1,FALSE,32.73228,0.13298,0.18930,4.05340,NAN,NAN,25.20000
640,0x000E,1,FALSE,33.25197,0.13509,0.18930,4.05310,NAN,NAN,25.30000
650,0x000E,1,FALSE,33.77156,0.13719,0.18930,4.05290,NAN,NAN,25.30000
660,0x000E,1,FALSE,34.23922,0.13909,0.18930,4.05260,NAN,NAN,25.30000
670,0x000E,1,FALSE,34.75889,0.14119,0.18930,4.05230,NAN,NAN,25.30000
680,0x000E,1,FALSE,35.27867,0.14330,0.18930,4.05210,NAN,NAN,25.30000
690,0x000E,1,FALSE,35.79828,0.14540,0.18930,4.05180,NAN,NAN,25.30000
700,0x000E,1,FALSE,36.31783,0.14751,0.18930,4.05160,NAN,NAN,25.30000
710,0x000E,1,FALSE,36.88947,0.14982,0.18930,4.05130,NAN,NAN,25.30000
720,0x000E,1,FALSE,37.40919,0.15193,0.18930,4.05100,NAN,NAN,25.30000
730,0x000E,1,FALSE,37.92872,0.15403,0.18930,4.05080,NAN,NAN,25.30000
740,0x000E,1,FALSE,38.44844,0.15614,0.18930,4.05050,NAN,NAN,25.30000
750,0x000E,1,FALSE,38.91611,0.15803,0.18930,4.05030,NAN,NAN,25.30000
760,0x000E,1,FALSE,39.43572,0.16014,0.18930,4.05000,NAN,NAN,25.30000
770,0x000E,1,FALSE,39.95522,0.16224,0.18930,4.04980,NAN,NAN,25.30000
780,0x000E,1,FALSE,40.47472,0.16434,0.18930,4.04950,NAN,NAN,25.30000
790,0x000E,1,FALSE,40.99425,0.16645,0.18930,4.04930,NAN,NAN,25.30000
800,0x000E,1,FALSE,41.56564,0.16876,0.18930,4.04900,NAN,NAN,25.30000
810,0x000E,1,FALSE,42.08511,0.17087,0.18930,4.04870,NAN,NAN,25.30000
820,0x000E,1,FALSE,42.60455,0.17297,0.18930,4.04850,NAN,NAN,25.30000
830,0x000E,1,FALSE,43.12383,0.17507,0.18930,4.04820,NAN,NAN,25.30000
840,0x000E,1,FALSE,43.59119,0.17696,0.18930,4.04800,NAN,NAN,25.20000
850,0x000E,1,FALSE,44.11067,0.17906,0.18930,4.04770,NAN,NAN,25.30000
860,0x000E,1,FALSE,44.63022,0.18117,0.18930,4.04750,NAN,NAN,25.30000
870,0x000E,1,FALSE,45.14997,0.18327,0.18930,4.04720,NAN,NAN,25.30000
880,0x000E,1,FALSE,45.66980,0.18537,0.18930,4.04690,NAN,NAN,25.30000
890,0x000E,1,FALSE,46.24131,0.18769,0.18930,4.04670,NAN,NAN,25.30000
900,0x000E,1,FALSE,46.76097,0.18979,0.18930,4.04640,NAN,NAN,25.30000
910,0x000E,1,FALSE,47.28055,0.19189,0.18930,4.04620,NAN,NAN,25.30000
920,0x000E,1,FALSE,47.80017,0.19399,0.18930,4.04590,NAN,NAN,25.30000
