
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.09260,NAN,NAN,15.30000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.07360,NAN,NAN,15.30000
10,0x000E,1,FALSE,0.51922,0.00211,0.18930,4.06480,NAN,NAN,15.30000
20,0x000E,1,FALSE,1.03839,0.00422,0.18930,4.06280,NAN,NAN,15.40000
30,0x000E,1,FALSE,1.50575,0.00612,0.18930,4.06130,NAN,NAN,15.40000
40,0x000E,1,FALSE,2.02522,0.00823,0.18930,4.05990,NAN,NAN,15.40000
50,0x000E,1,FALSE,2.54461,0.01034,0.18930,4.05860,NAN,NAN,15.50000
60,0x000E,1,FALSE,3.06406,0.01244,0.18930,4.05760,NAN,NAN,15.50000
70,0x000E,1,FALSE,3.58350,0.01455,0.18940,4.05670,NAN,NAN,15.50000
80,0x000E,1,FALSE,4.15508,0.01687,0.18930,4.05580,NAN,NAN,15.60000
90,0x000E,1,FALSE,4.67453,0.01898,0.18930,4.05510,NAN,NAN,15.60000
100,0x000E,1,FALSE,5.19397,0.02108,0.18930,4.05440,NAN,NAN,15.60000
110,0x000E,1,FALSE,5.71342,0.02319,0.18930,4.05390,NAN,NAN,15.60000
120,0x000E,1,FALSE,6.18094,0.02508,0.18930,4.05330,NAN,NAN,15.60000
130,0x000E,1,FALSE,6.70042,0.02719,0.18930,4.05280,NAN,NAN,15.60000
140,0x000E,1,FALSE,7.21989,0.02929,0.18940,4.05230,NAN,NAN,15.60000
150,0x000E,1,FALSE,7.73933,0.03140,0.18940,4.05180,NAN,NAN,15.60000
160,0x000E,1,FALSE,8.25878,0.03350,0.18940,4.05130,NAN,NAN,15.50000
170,0x000E,1,FALSE,8.83017,0.03582,0.18930,4.05090,NAN,NAN,15.40000
180,0x000E,1,FALSE,9.34958,0.03792,0.18930,4.05040,NAN,NAN,15.30000
190,0x000E,1,FALSE,9.86900,0.04002,0.18930,4.05000,NAN,NAN,15.20000
200,0x000E,1,FALSE,10.38836,0.04213,0.18940,4.04950,NAN,NAN,15.10000
210,0x000E,1,FALSE,10.85586,0.04402,0.18940,4.04920,NAN,NAN,15.10000
220,0x000E,1,FALSE,11.37528,0.04612,0.18940,4.04880,NAN,NAN,15.20000
230,0x000E,1,FALSE,11.89483,0.04823,0.18930,4.04840,NAN,NAN,15.20000
240,0x000E,1,FALSE,12.41422,0.05033,0.18930,4.04800,NAN,NAN,15.20000
250,0x000E,1,FALSE,12.93364,0.05243,0.18930,4.04760,NAN,NAN,15.20000
260,0x000E,1,FALSE,13.50503,0.05474,0.18930,4.04720,NAN,NAN,15.20000
270,0x000E,1,FALSE,14.02447,0.05685,0.18930,4.04690,NAN,NAN,15.20000
280,0x000E,1,FALSE,14.54389,0.05895,0.18930,4.04650,NAN,NAN,15.20000
290,0x000E,1,FALSE,15.06336,0.06105,0.18930,4.04620,NAN,NAN,15.30000
300,0x000E,1,FALSE,15.53089,0.06294,0.18930,4.04580,NAN,NAN,15.30000
310,0x000E,1,FALSE,16.05033,0.06504,0.18930,4.04550,NAN,NAN,15.30000
320,0x000E,1,FALSE,16.56972,0.06714,0.18930,4.04520,NAN,NAN,15.30000
330,0x000E,1,FALSE,17.08900,0.06924,0.18930,4.04480,NAN,NAN,15.30000
340,0x000E,1,FALSE,17.60833,0.07134,0.18930,4.04450,NAN,NAN,15.30000
350,0x000E,1,FALSE,18.17947,0.07365,0.18930,4.04420,NAN,NAN,15.30000
360,0x000E,1,FALSE,18.69889,0.07575,0.18930,4.04380,NAN,NAN,15.30000
