
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.07300,NAN,NAN,2.40000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.06120,NAN,NAN,2.30000
10,0x000E,1,FALSE,0.49394,0.00199,0.18930,4.02980,NAN,NAN,2.30000
20,0x000E,1,FALSE,0.99344,0.00400,0.18930,4.02740,NAN,NAN,2.40000
30,0x000E,1,FALSE,1.44308,0.00581,0.18930,4.02540,NAN,NAN,2.40000
40,0x000E,1,FALSE,1.94267,0.00782,0.18930,4.02370,NAN,NAN,2.40000
50,0x000E,1,FALSE,2.44222,0.00983,0.18930,4.02210,NAN,NAN,2.40000
60,0x000E,1,FALSE,2.94197,0.01184,0.18930,4.02080,NAN,NAN,2.40000
70,0x000E,1,FALSE,3.44161,0.01385,0.18930,4.01950,NAN,NAN,2.40000
80,0x000E,1,FALSE,3.99092,0.01606,0.18930,4.01830,NAN,NAN,2.40000
90,0x000E,1,FALSE,4.49036,0.01807,0.18930,4.01730,NAN,NAN,2.40000
100,0x000E,1,FALSE,4.98983,0.02007,0.18930,4.01640,NAN,NAN,2.40000
110,0x000E,1,FALSE,5.48939,0.02208,0.18930,4.01550,NAN,NAN,2.50000
120,0x000E,1,FALSE,5.93886,0.02388,0.18930,4.01480,NAN,NAN,2.50000
130,0x000E,1,FALSE,6.43833,0.02589,0.18930,4.01400,NAN,NAN,2.50000
140,0x000E,1,FALSE,6.93778,0.02789,0.18930,4.01330,NAN,NAN,2.50000
150,0x000E,1,FALSE,7.43728,0.02990,0.18930,4.01260,NAN,NAN,2.50000
160,0x000E,1,FALSE,7.93694,0.03190,0.18930,4.01200,NAN,NAN,2.60000
170,0x000E,1,FALSE,8.48661,0.03411,0.18930,4.01140,NAN,NAN,2.60000
180,0x000E,1,FALSE,8.98639,0.03611,0.18930,4.01080,NAN,NAN,2.60000
190,0x000E,1,FALSE,9.48600,0.03811,0.18930,4.01030,NAN,NAN,2.60000
200,0x000E,1,FALSE,9.98553,0.04012,0.18930,4.00980,NAN,NAN,2.60000
210,0x000E,1,FALSE,10.43525,0.04192,0.18930,4.00930,NAN,NAN,2.60000
220,0x000E,1,FALSE,10.93469,0.04392,0.18930,4.00880,NAN,NAN,2.50000
230,0x000E,1,FALSE,11.43417,0.04592,0.18930,4.00830,NAN,NAN,2.50000
240,0x000E,1,FALSE,11.93361,0.04793,0.18930,4.00790,NAN,NAN,2.50000
250,0x000E,1,FALSE,12.43306,0.04993,0.18930,4.00740,NAN,NAN,2.40000
260,0x000E,1,FALSE,12.98219,0.05213,0.18930,4.00700,NAN,NAN,2.40000
270,0x000E,1,FALSE,13.48161,0.05413,0.18930,4.00650,NAN,NAN,2.30000
280,0x000E,1,FALSE,13.98103,0.05613,0.18930,4.00610,NAN,NAN,2.30000
290,0x000E,1,FALSE,14.48039,0.05813,0.18930,4.00560,NAN,NAN,2.20000
300,0x000E,1,FALSE,14.92986,0.05993,0.18930,4.00520,NAN,NAN,2.10000
