
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.07920,NAN,NAN,5.20000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.06350,NAN,NAN,5.20000
10,0x000E,1,FALSE,0.51953,0.00210,0.18930,4.04000,NAN,NAN,5.20000
20,0x000E,1,FALSE,1.03928,0.00420,0.18930,4.03760,NAN,NAN,5.20000
30,0x000E,1,FALSE,1.50717,0.00609,0.18930,4.03570,NAN,NAN,5.20000
40,0x000E,1,FALSE,2.02708,0.00818,0.18930,4.03410,NAN,NAN,5.30000
50,0x000E,1,FALSE,2.54681,0.01028,0.18930,4.03260,NAN,NAN,5.30000
60,0x000E,1,FALSE,3.06644,0.01238,0.18930,4.03120,NAN,NAN,5.20000
70,0x000E,1,FALSE,3.58608,0.01447,0.18930,4.03000,NAN,NAN,5.20000
80,0x000E,1,FALSE,4.15781,0.01677,0.18930,4.02890,NAN,NAN,5.20000
90,0x000E,1,FALSE,4.67753,0.01887,0.18930,4.02790,NAN,NAN,5.20000
100,0x000E,1,FALSE,5.19719,0.02096,0.18930,4.02700,NAN,NAN,5.20000
110,0x000E,1,FALSE,5.71692,0.02305,0.18930,4.02620,NAN,NAN,5.20000
120,0x000E,1,FALSE,6.18467,0.02494,0.18930,4.02540,NAN,NAN,5.20000
130,0x000E,1,FALSE,6.70442,0.02703,0.18930,4.02470,NAN,NAN,5.20000
140,0x000E,1,FALSE,7.22419,0.02912,0.18930,4.02400,NAN,NAN,5.20000
150,0x000E,1,FALSE,7.74411,0.03121,0.18930,4.02340,NAN,NAN,5.20000
160,0x000E,1,FALSE,8.26406,0.03330,0.18930,4.02280,NAN,NAN,5.30000
