
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.09550,NAN,NAN,20.00000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.07130,NAN,NAN,20.00000
10,0x000E,1,FALSE,0.51922,0.00211,0.18930,4.07120,NAN,NAN,20.00000
20,0x000E,1,FALSE,1.03858,0.00423,0.18930,4.06930,NAN,NAN,20.00000
30,0x000E,1,FALSE,1.50597,0.00613,0.18930,4.06790,NAN,NAN,20.00000
40,0x000E,1,FALSE,2.02519,0.00824,0.18930,4.06660,NAN,NAN,20.00000
50,0x000E,1,FALSE,2.54444,0.01035,0.18930,4.06550,NAN,NAN,20.00000
60,0x000E,1,FALSE,3.06356,0.01246,0.18930,4.06460,NAN,NAN,20.00000
70,0x000E,1,FALSE,3.58286,0.01457,0.18930,4.06380,NAN,NAN,20.00000
80,0x000E,1,FALSE,4.15419,0.01689,0.18930,4.06300,NAN,NAN,20.00000
90,0x000E,1,FALSE,4.67369,0.01900,0.18930,4.06240,NAN,NAN,20.00000
100,0x000E,1,FALSE,5.19347,0.02112,0.18930,4.06180,NAN,NAN,20.00000
110,0x000E,1,FALSE,5.71319,0.02323,0.18930,4.06120,NAN,NAN,20.00000
120,0x000E,1,FALSE,6.18103,0.02513,0.18930,4.06070,NAN,NAN,20.00000
130,0x000E,1,FALSE,6.70061,0.02724,0.18930,4.06020,NAN,NAN,20.00000
140,0x000E,1,FALSE,7.22019,0.02935,0.18930,4.05980,NAN,NAN,20.00000
150,0x000E,1,FALSE,7.74000,0.03146,0.18930,4.05930,NAN,NAN,20.00000
160,0x000E,1,FALSE,8.25961,0.03356,0.18930,4.05890,NAN,NAN,20.00000
170,0x000E,1,FALSE,8.83117,0.03588,0.18930,4.05850,NAN,NAN,20.00000
180,0x000E,1,FALSE,9.35089,0.03799,0.18930,4.05810,NAN,NAN,20.00000
190,0x000E,1,FALSE,9.87050,0.04010,0.18930,4.05770,NAN,NAN,20.00000
200,0x000E,1,FALSE,10.39008,0.04221,0.18930,4.05730,NAN,NAN,20.00000
210,0x000E,1,FALSE,10.85783,0.04411,0.18930,4.05690,NAN,NAN,20.00000
220,0x000E,1,FALSE,11.37742,0.04621,0.18930,4.05660,NAN,NAN,20.00000
230,0x000E,1,FALSE,11.89703,0.04832,0.18930,4.05620,NAN,NAN,20.00000
240,0x000E,1,FALSE,12.41672,0.05043,0.18930,4.05590,NAN,NAN,20.00000
250,0x000E,1,FALSE,12.93628,0.05254,0.18930,4.05550,NAN,NAN,20.00000
260,0x000E,1,FALSE,13.50781,0.05485,0.18930,4.05520,NAN,NAN,20.00000
270,0x000E,1,FALSE,14.02750,0.05696,0.18930,4.05490,NAN,NAN,20.00000
280,0x000E,1,FALSE,14.54736,0.05907,0.18930,4.05450,NAN,NAN,20.00000
290,0x000E,1,FALSE,15.06731,0.06118,0.18930,4.05420,NAN,NAN,20.00000
300,0x000E,1,FALSE,15.53514,0.06307,0.18930,4.05390,NAN,NAN,20.00000
310,0x000E,1,FALSE,16.05486,0.06518,0.18930,4.05360,NAN,NAN,20.00000
320,0x000E,1,FALSE,16.57442,0.06729,0.18930,4.05330,NAN,NAN,20.00000
330,0x000E,1,FALSE,17.09389,0.06939,0.18930,4.05300,NAN,NAN,20.00000
340,0x000E,1,FALSE,17.61336,0.07150,0.18930,4.05260,NAN,NAN,20.00000
350,0x000E,1,FALSE,18.18475,0.07381,0.18930,4.05230,NAN,NAN,20.00000
360,0x000E,1,FALSE,18.70433,0.07592,0.18930,4.05200,NAN,NAN,20.00000
370,0x000E,1,FALSE,19.22408,0.07802,0.18930,4.05170,NAN,NAN,20.00000
380,0x000E,1,FALSE,19.74380,0.08013,0.18930,4.05140,NAN,NAN,20.00000
390,0x000E,1,FALSE,20.21150,0.08202,0.18930,4.05110,NAN,NAN,20.10000
400,0x000E,1,FALSE,20.73131,0.08413,0.18930,4.05080,NAN,NAN,20.10000
410,0x000E,1,FALSE,21.25125,0.08624,0.18930,4.05050,NAN,NAN,20.00000
420,0x000E,1,FALSE,21.77103,0.08834,0.18930,4.05020,NAN,NAN,20.10000
430,0x000E,1,FALSE,22.29058,0.09044,0.18930,4.05000,NAN,NAN,20.10000
440,0x000E,1,FALSE,22.86217,0.09276,0.18930,4.04960,NAN,NAN,20.10000
450,0x000E,1,FALSE,23.38197,0.09486,0.18930,4.04940,NAN,NAN,20.10000
460,0x000E,1,FALSE,23.90169,0.09697,0.18930,4.04910,NAN,NAN,20.10000
470,0x000E,1,FALSE,24.42119,0.09907,0.18930,4.04880,NAN,NAN,20.10000
480,0x000E,1,FALSE,24.88872,0.10096,0.18930,4.04850,NAN,NAN,20.10000
490,0x000E,1,FALSE,25.40817,0.10307,0.18930,4.04820,NAN,NAN,20.10000
500,0x000E,1,FALSE,25.92767,0.10517,0.18930,4.04800,NAN,NAN,20.10000
510,0x000E,1,FALSE,26.44722,0.10727,0.18930,4.04770,NAN,NAN,20.10000
520,0x000E,1,FALSE,26.96667,0.10937,0.18930,4.04740,NAN,NAN,20.10000
530,0x000E,1,FALSE,27.53803,0.11169,0.18930,4.04710,NAN,NAN,20.00000
540,0x000E,1,FALSE,28.05750,0.11379,0.18930,4.04680,NAN,NAN,20.00000
550,0x000E,1,FALSE,28.57694,0.11589,0.18930,4.04650,NAN,NAN,20.10000
560,0x000E,1,FALSE,29.09639,0.11799,0.18930,4.04620,NAN,NAN,20.10000
570,0x000E,1,FALSE,29.56397,0.11988,0.18930,4.04600,NAN,NAN,20.10000
580,0x000E,1,FALSE,30.08347,0.12199,0.18930,4.04570,NAN,NAN,20.10000
590,0x000E,1,FALSE,30.60303,0.12409,0.18930,4.04540,NAN,NAN,20.10000
600,0x000E,1,FALSE,31.12258,0.12619,0.18930,4.04520,NAN,NAN,20.10000
610,0x000E,1,FALSE,31.64200,0.12829,0.18930,4.04490,NAN,NAN,20.10000
620,0x000E,1,FALSE,32.21333,0.13060,0.18930,4.04460,NAN,NAN,20.10000
630,0x000E,1,FALSE,32.73275,0.13270,0.18930,4.04430,NAN,NAN,20.10000
640,0x000E,1,FALSE,33.25217,0.13480,0.18930,4.04400,NAN,NAN,20.10000
650,0x000E,1,FALSE,33.77172,0.13690,0.18930,4.04380,NAN,NAN,20.10000
660,0x000E,1,FALSE,34.23922,0.13879,0.18930,4.04350,NAN,NAN,20.10000
670,0x000E,1,FALSE,34.75869,0.14089,0.18930,4.04330,NAN,NAN,20.10000
680,0x000E,1,FALSE,35.27817,0.14299,0.18930,4.04300,NAN,NAN,20.10000
690,0x000E,1,FALSE,35.79764,0.14509,0.18930,4.04270,NAN,NAN,20.10000
700,0x000E,1,FALSE,36.31709,0.14719,0.18930,4.04250,NAN,NAN,20.10000
710,0x000E,1,FALSE,36.88861,0.14950,0.18930,4.04220,NAN,NAN,20.10000
720,0x000E,1,FALSE,37.40828,0.15160,0.18930,4.04190,NAN,NAN,20.10000
730,0x000E,1,FALSE,37.92811,0.15371,0.18930,4.04170,NAN,NAN,20.10000
740,0x000E,1,FALSE,38.44764,0.15580,0.18930,4.04140,NAN,NAN,20.10000
750,0x000E,1,FALSE,38.91536,0.15770,0.18930,4.04110,NAN,NAN,20.10000
760,0x000E,1,FALSE,39.43511,0.15980,0.18930,4.04090,NAN,NAN,20.10000
770,0x000E,1,FALSE,39.95478,0.16189,0.18930,4.04060,NAN,NAN,20.10000
780,0x000E,1,FALSE,40.47456,0.16399,0.18930,4.04040,NAN,NAN,20.10000
790,0x000E,1,FALSE,40.99414,0.16609,0.18930,4.04010,NAN,NAN,20.10000
800,0x000E,1,FALSE,41.56567,0.16840,0.18930,4.03980,NAN,NAN,20.10000
810,0x000E,1,FALSE,42.08514,0.17050,0.18930,4.03960,NAN,NAN,20.10000
