
[TEST CONDITION]
CondName,バッテリ温度特性試験20210227
ModelID,21
Average,0
CheckDut,FALSE
AutoFine,FALSE
DateTime,2021/02/27,21:40:39
Operator,米山まうむ
Notes,運用に向けてバッテリの温度特性を測定する
運用時の消費電流を鑑み，0.1C放電で行う
なおこんなに運用直前にやることではないので，次期プロジェクトの人間はもっと早い段階で行うことをお勧めする
BatteryName,UF103450P
NominalCapacity[mAh],1800.0
NominalVoltage[V],3.70000
Volume[ml],0.10
Weight[g],38.30
SoftOvp[V],4.40000
SoftUvp[V],2.50000
SoftOah[%],110.00000
SoftOtp[°C],60.00000
DeltaT[s],10.00000
DeltaV[V],0.10000
DeltaI[A],0.10000
ImpRange[ohm],0
Frequency[Hz],1000
AutoRange,FALSE
AfterCharge,FALSE
AfterChargeRest,FALSE
AfterDischarge,FALSE
AfterDischargeRest,FALSE
CapacityRate_C[%],OFF
CapacityRate_D[%],OFF
Impedance_C[ohm],OFF
Impedance_D[ohm],OFF
SeqInfoName,

[CHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC-CV
ChargeTime[s],0
RestTime[s],0
Current[A],0.00000
CvVolt[V],0.00000
CvTime[s],0
ItCurrent[A],OFF
ItTime[s],OFF

[DISCHARGE SHEET]
SheetNo,2
Range,HIGH
Mode,CC
DischargeTime[s],43200
RestTime[s],0
Current[A],0.18800
CapacityVolt[V],3.70000
CutoffVolt[V],2.75000

[DISCHARGE MONITOR]
TimeElapsed[s],StdState,OpnState,LowRange,Capacity[mAh],Power[Wh],Curr[A],Volt[V],VoltHi[V],VoltLo[V],Temp[°C],TermState,CellVolt[V],CellVoltHi[V],CellVoltLo[V],CellTemp[°C],(continued)
0,0x000E,0,FALSE,0.00000,0.00000,0.00000,4.08390,NAN,NAN,6.90000
0,0x000E,1,FALSE,0.00000,0.00000,0.00010,4.05970,NAN,NAN,7.00000
10,0x000E,1,FALSE,0.49369,0.00200,0.18930,4.04910,NAN,NAN,7.00000
20,0x000E,1,FALSE,0.99286,0.00402,0.18930,4.04680,NAN,NAN,7.00000
30,0x000E,1,FALSE,1.44222,0.00584,0.18930,4.04500,NAN,NAN,7.10000
40,0x000E,1,FALSE,1.94156,0.00786,0.18930,4.04340,NAN,NAN,7.10000
50,0x000E,1,FALSE,2.44086,0.00988,0.18930,4.04200,NAN,NAN,7.10000
60,0x000E,1,FALSE,2.94047,0.01189,0.18930,4.04080,NAN,NAN,7.10000
70,0x000E,1,FALSE,3.44006,0.01391,0.18930,4.03970,NAN,NAN,7.20000
80,0x000E,1,FALSE,3.98925,0.01613,0.18920,4.03860,NAN,NAN,7.20000
90,0x000E,1,FALSE,4.48861,0.01815,0.18930,4.03770,NAN,NAN,7.20000
100,0x000E,1,FALSE,4.98794,0.02016,0.18930,4.03690,NAN,NAN,7.20000
110,0x000E,1,FALSE,5.48761,0.02218,0.18930,4.03610,NAN,NAN,7.20000
120,0x000E,1,FALSE,5.93728,0.02399,0.18930,4.03540,NAN,NAN,7.20000
130,0x000E,1,FALSE,6.43681,0.02601,0.18930,4.03470,NAN,NAN,7.20000
140,0x000E,1,FALSE,6.93614,0.02802,0.18930,4.03410,NAN,NAN,7.10000
150,0x000E,1,FALSE,7.43572,0.03004,0.18930,4.03350,NAN,NAN,7.10000
160,0x000E,1,FALSE,7.93519,0.03205,0.18930,4.03290,NAN,NAN,7.10000
170,0x000E,1,FALSE,8.48433,0.03427,0.18930,4.03230,NAN,NAN,7.10000
180,0x000E,1,FALSE,8.98347,0.03628,0.18930,4.03180,NAN,NAN,7.10000
190,0x000E,1,FALSE,9.48258,0.03829,0.18930,4.03130,NAN,NAN,7.10000
200,0x000E,1,FALSE,9.98164,0.04030,0.18920,4.03080,NAN,NAN,7.10000
210,0x000E,1,FALSE,10.43094,0.04211,0.18930,4.03040,NAN,NAN,7.10000
220,0x000E,1,FALSE,10.93028,0.04413,0.18930,4.03000,NAN,NAN,7.20000
230,0x000E,1,FALSE,11.42964,0.04614,0.18930,4.02950,NAN,NAN,7.20000
240,0x000E,1,FALSE,11.92911,0.04815,0.18930,4.02910,NAN,NAN,7.20000
250,0x000E,1,FALSE,12.42861,0.05016,0.18930,4.02870,NAN,NAN,7.20000
260,0x000E,1,FALSE,12.97786,0.05238,0.18930,4.02820,NAN,NAN,7.30000
270,0x000E,1,FALSE,13.47719,0.05439,0.18930,4.02790,NAN,NAN,7.30000
280,0x000E,1,FALSE,13.97681,0.05640,0.18930,4.02750,NAN,NAN,7.30000
290,0x000E,1,FALSE,14.47617,0.05841,0.18920,4.02720,NAN,NAN,7.40000
